Row, Timestamp, Series 2, Series 7
0   , 0.118, 13     , 0      
1   , 0.138, 13     , 1      
2   , 0.158, 13     , 4      
3   , 0.178, 13     , 7      
4   , 0.198, 13     , 10     
5   , 0.218, 13     , 10     
6   , 0.238, 13     , 13     
7   , 0.258, 13     , 13     
8   , 0.278, 13     , 13     
9   , 0.298, 13     , 13     
10  , 0.319, 13     , 13     
11  , 0.339, 13     , 13     
12  , 0.359, 13     , 13     
13  , 0.379, 13     , 13     
14  , 0.399, 13     , 13     
15  , 0.419, 13     , 12     
16  , 0.439, 13     , 14     
17  , 0.461, 13     , 12     
18  , 0.481, 13     , 12     
19  , 0.501, 13     , 12     
20  , 0.521, 13     , 13     
21  , 0.541, 13     , 13     
22  , 0.561, 13     , 13     
23  , 0.581, 13     , 13     
24  , 0.601, 13     , 13     
25  , 0.621, 13     , 14     
26  , 0.641, 13     , 10     
27  , 0.661, 13     , 13     
28  , 0.681, 13     , 12     
29  , 0.701, 13     , 13     
30  , 0.721, 13     , 12     
31  , 0.741, 13     , 13     
32  , 0.761, 13     , 12     
33  , 0.781, 13     , 13     
34  , 0.801, 13     , 12     
35  , 0.821, 13     , 13     
36  , 0.841, 13     , 13     
37  , 0.861, 13     , 12     
38  , 0.881, 13     , 14     
39  , 0.901, 13     , 11     
40  , 0.921, 13     , 13     
41  , 0.941, 13     , 12     
42  , 0.961, 13     , 13     
43  , 0.981, 13     , 13     
44  , 1.001, 13     , 13     
45  , 1.021, 13     , 13     
46  , 1.041, 13     , 13     
47  , 1.061, 13     , 13     
48  , 1.081, 13     , 13     
49  , 1.101, 13     , 13     
50  , 1.121, 13     , 12     
51  , 1.141, 13     , 13     
52  , 1.161, 13     , 13     
53  , 1.181, 13     , 14     
54  , 1.201, 13     , 11     
55  , 1.221, 13     , 12     
56  , 1.241, 13     , 13     
57  , 1.261, 13     , 12     
58  , 1.281, 13     , 14     
59  , 1.301, 13     , 13     
60  , 1.321, 13     , 11     
61  , 1.341, 13     , 13     
62  , 1.361, 13     , 12     
63  , 1.381, 13     , 13     
64  , 1.401, 13     , 12     
65  , 1.421, 13     , 13     
66  , 1.441, 13     , 13     
67  , 1.461, 13     , 13     
68  , 1.481, 13     , 13     
69  , 1.504, 13     , 15     
70  , 1.524, 13     , 13     
71  , 1.544, 13     , 11     
72  , 1.564, 13     , 11     
73  , 1.584, 13     , 12     
74  , 1.604, 13     , 12     
75  , 1.624, 13     , 13     
76  , 1.644, 13     , 13     
77  , 1.664, 13     , 11     
78  , 1.684, 13     , 15     
79  , 1.704, 13     , 13     
80  , 1.724, 13     , 13     
81  , 1.744, 13     , 13     
82  , 1.764, 13     , 12     
83  , 1.784, 13     , 12     
84  , 1.804, 13     , 13     
85  , 1.824, 13     , 13     
86  , 1.844, 13     , 12     
87  , 1.864, 13     , 13     
88  , 1.884, 13     , 13     
89  , 1.904, 13     , 12     
90  , 1.924, 13     , 13     
91  , 1.944, 13     , 13     
92  , 1.964, 13     , 11     
93  , 1.984, 13     , 14     
94  , 2.004, 13     , 13     
95  , 2.025, 13     , 13     
96  , 2.045, 13     , 13     
97  , 2.065, 13     , 11     
98  , 2.085, 13     , 13     
99  , 2.105, 13     , 12     
100 , 2.125, -5     , 13     
101 , 2.145, -5     , 11     
102 , 2.165, -5     , 6      
103 , 2.185, -5     , 2      
104 , 2.205, -5     , -1     
105 , 2.225, -5     , -5     
106 , 2.245, -5     , -7     
107 , 2.265, -5     , -8     
108 , 2.285, -5     , -10    
109 , 2.305, -5     , -7     
110 , 2.325, -5     , -6     
111 , 2.345, -5     , -4     
112 , 2.365, -5     , -2     
113 , 2.385, -5     , -2     
114 , 2.405, -5     , -2     
115 , 2.425, -5     , -4     
116 , 2.445, -5     , -5     
117 , 2.465, -5     , -6     
118 , 2.485, -5     , -5     
119 , 2.505, -5     , -6     
120 , 2.525, -5     , -5     
121 , 2.545, -5     , -6     
122 , 2.565, -5     , -4     
123 , 2.585, -5     , -5     
124 , 2.605, -5     , -4     
125 , 2.625, -5     , -3     
126 , 2.645, -5     , -4     
127 , 2.665, -5     , -5     
128 , 2.685, -5     , -5     
129 , 2.705, -5     , -6     
130 , 2.725, -5     , -4     
131 , 2.745, -5     , -5     
132 , 2.765, -5     , -5     
133 , 2.785, -5     , -5     
134 , 2.805, -5     , -5     
135 , 2.825, -5     , -4     
136 , 2.845, -5     , -5     
137 , 2.865, -5     , -4     
138 , 2.885, -5     , -5     
139 , 2.905, -5     , -5     
140 , 2.925, -5     , -5     
141 , 2.945, -5     , -4     
142 , 2.965, -5     , -5     
143 , 2.985, -5     , -5     
144 , 3.005, -5     , -4     
145 , 3.025, -5     , -6     
146 , 3.046, -5     , -4     
147 , 3.066, -5     , -4     
148 , 3.086, -5     , -6     
149 , 3.106, -5     , -5     
150 , 3.126, -5     , -5     
151 , 3.146, -5     , -4     
152 , 3.166, -5     , -3     
153 , 3.186, -5     , -6     
154 , 3.206, -5     , -5     
155 , 3.226, -5     , -4     
156 , 3.246, -5     , -5     
157 , 3.266, -5     , -4     
158 , 3.286, -5     , -6     
159 , 3.306, -5     , -5     
160 , 3.326, -5     , -5     
161 , 3.346, -5     , -4     
162 , 3.366, -5     , -5     
163 , 3.386, -5     , -5     
164 , 3.406, -5     , -5     
165 , 3.427, -5     , -4     
166 , 3.447, -5     , -4     
167 , 3.467, -5     , -5     
168 , 3.487, -5     , -5     
169 , 3.507, -5     , -4     
170 , 3.527, -5     , -5     
171 , 3.547, -5     , -5     
172 , 3.567, -5     , -5     
173 , 3.587, -5     , -5     
174 , 3.607, -5     , -5     
175 , 3.627, -5     , -5     
176 , 3.647, -5     , -4     
177 , 3.667, -5     , -5     
178 , 3.687, -5     , -4     
179 , 3.707, -5     , -5     
180 , 3.727, -5     , -4     
181 , 3.747, -5     , -5     
182 , 3.767, -5     , -5     
183 , 3.787, -5     , -5     
184 , 3.807, -5     , -5     
185 , 3.827, -5     , -5     
186 , 3.847, -5     , -5     
187 , 3.867, -5     , -5     
188 , 3.887, -5     , -4     
